time,edge_weight_89,edge_weight_810,edge_weight_811,edge_weight_812,edge_weight_813,edge_weight_914,edge_weight_915,edge_weight_916,edge_weight_917,edge_weight_918,edge_weight_1019,edge_weight_1020,edge_weight_1121,edge_weight_1122,edge_weight_1123,edge_weight_1224,edge_weight_1225,edge_weight_1326,edge_weight_1327
696,0,0,0,0,0,0,0,1215286,11,87,92,11,87,92,11,87,1215378,92,11
695,0,0,0,0,0,0,0,1223164,11,87,92,11,87,92,11,87,1223256,92,11
694,0,0,0,0,0,0,0,1231042,11,87,92,11,87,92,11,87,1231134,92,11
693,0,0,0,0,0,0,0,1238924,11,87,92,11,87,92,11,87,1239016,92,11
692,0,0,0,0,0,0,0,1246812,11,87,92,11,87,92,11,87,1246904,92,11
691,0,0,0,0,0,0,0,1254707,11,87,92,11,87,92,11,87,1254799,92,11
690,0,0,0,0,0,0,0,1262603,11,87,92,11,87,92,11,87,1262695,92,11
689,0,0,0,0,0,0,0,1270499,11,87,92,11,87,92,11,87,1270591,92,11
688,0,0,0,0,0,0,0,1278396,11,87,92,11,87,92,11,87,1278488,92,11
687,0,0,0,0,0,0,0,1286299,11,87,92,11,87,92,11,87,1286391,92,11
686,0,0,0,0,0,0,0,1294208,11,87,92,11,87,92,11,87,1294300,92,11
685,0,0,0,0,0,0,0,1302125,11,87,92,11,87,92,11,87,1302217,92,11
684,0,0,0,0,0,0,0,1310043,11,87,92,11,87,92,11,87,1310135,92,11
683,0,0,0,0,0,0,0,1317965,11,87,92,11,87,92,11,87,1318057,92,11
682,0,0,0,0,0,0,0,1325948,11,87,92,11,87,92,11,87,1326040,92,11
681,0,0,0,0,0,0,0,1333993,11,87,92,11,87,92,11,87,1334085,92,11
680,0,0,0,0,0,0,0,1342094,11,87,92,11,87,92,11,87,1342186,92,11
679,0,0,0,0,0,0,0,1350195,11,87,92,11,87,92,11,87,1350287,92,11
678,0,0,0,0,0,0,0,1358296,11,87,92,11,87,92,11,87,1358388,92,11
677,0,0,0,0,0,0,0,1366397,11,87,92,11,87,92,11,87,1366489,92,11
676,0,0,0,0,0,0,0,1374498,11,87,92,11,87,92,11,87,1374590,92,11
675,0,0,0,0,0,0,0,1382599,11,87,92,11,87,92,11,87,1382691,92,11
674,0,0,0,0,0,0,0,1390700,11,87,92,11,87,92,11,87,1390792,92,11
673,0,0,0,0,0,0,0,1398801,11,87,92,11,87,92,11,87,1398893,92,11
672,0,0,0,0,0,0,0,1406902,11,87,92,11,87,92,11,87,1406994,92,11
671,0,0,0,0,0,0,0,1415003,11,87,92,11,87,92,11,87,1415095,92,11
670,0,0,0,0,0,0,0,1423104,11,87,92,11,87,92,11,87,1423196,92,11
669,0,0,0,0,0,0,0,1431205,11,87,92,11,87,92,11,87,1431297,92,11
668,0,0,0,0,0,0,0,1439306,11,87,92,11,87,92,11,87,1439398,92,11
667,0,0,0,0,0,0,0,1447407,11,87,92,11,87,92,11,87,1447499,92,11
666,0,0,0,0,0,0,0,1455508,11,87,92,11,87,92,11,87,1455600,92,11
665,0,0,0,0,0,0,0,1463609,11,87,92,11,87,92,11,87,1463701,92,11
664,0,0,0,0,0,0,0,1471710,11,87,92,11,87,92,11,87,1471802,92,11
663,0,0,0,0,0,0,0,1479811,11,87,92,11,87,92,11,87,1479903,92,11
662,0,0,0,0,0,0,0,1487912,11,87,92,11,87,92,11,87,1488004,92,11
661,0,0,0,0,0,0,0,1496013,11,87,92,11,87,92,11,87,1496105,92,11
660,0,0,0,0,0,0,0,1504114,11,87,92,11,87,92,11,87,1504206,92,11
659,0,0,0,0,0,0,0,1512215,11,87,92,11,87,92,11,87,1512307,92,11
658,0,0,0,0,0,0,0,1520316,11,87,92,11,87,92,11,87,1520408,92,11
657,0,0,0,0,0,0,0,1528417,11,87,92,11,87,92,11,87,1528509,92,11
656,0,0,0,0,0,0,0,1536518,11,87,92,11,87,92,11,87,1536610,92,11
655,0,0,0,0,0,0,0,1544619,11,87,92,11,87,92,11,87,1544711,92,11
654,0,0,0,0,0,0,0,1552720,11,87,92,11,87,92,11,87,1552812,92,11
653,0,0,0,0,0,0,0,1560821,11,87,92,11,87,92,11,87,1560913,92,11
652,0,0,0,0,0,0,0,1568922,11,87,92,11,87,92,11,87,1569014,92,11
651,0,0,0,0,0,0,0,1577023,11,87,92,11,87,92,11,87,1577115,92,11
650,0,0,0,0,0,0,0,1585124,11,87,92,11,87,92,11,87,1585216,92,11
649,0,0,0,0,0,0,0,1593225,11,87,92,11,87,92,11,87,1593317,92,11
648,0,0,0,0,0,0,0,1601326,11,87,92,11,87,92,11,87,1601418,92,11
647,0,0,0,0,0,0,0,1609427,11,87,92,11,87,92,11,87,1609519,92,11
646,0,0,0,0,0,0,0,1617528,11,87,92,11,87,92,11,87,1617620,92,11
645,0,0,0,0,0,0,0,1625629,11,87,92,11,87,92,11,87,1625721,92,11
644,0,0,0,0,0,0,0,1633730,11,87,92,11,87,92,11,87,1633822,92,11
643,0,0,0,0,0,0,0,1641831,11,87,92,11,87,92,11,87,1641923,92,11
642,0,0,0,0,0,0,0,1649932,11,87,92,11,87,92,11,87,1650024,92,11
641,0,0,0,0,0,0,0,1658033,11,87,92,11,87,92,11,87,1658125,92,11
640,0,0,0,0,0,0,0,1666134,11,87,92,11,87,92,11,87,1666226,92,11
639,0,0,0,0,0,0,0,1674235,11,87,92,11,87,92,11,87,1674327,92,11
638,0,0,0,0,0,0,0,1682336,11,87,92,11,87,92,11,87,1682428,92,11
637,0,0,0,0,0,0,0,1690437,11,87,92,11,87,92,11,87,1690529,92,11
636,0,0,0,0,0,0,0,1698538,11,87,92,11,87,92,11,87,1698630,92,11
635,0,0,0,0,0,0,0,1706639,11,87,92,11,87,92,11,87,1706731,92,11
634,0,0,0,0,0,0,0,1714740,11,87,92,11,87,92,11,87,1714832,92,11
633,0,0,0,0,0,0,0,1722841,11,87,92,11,87,92,11,87,1722933,92,11
632,0,0,0,0,0,0,0,1730942,11,87,92,11,87,92,11,87,1731034,92,11
631,0,0,0,0,0,0,0,1739043,11,87,92,11,87,92,11,87,1739135,92,11
630,0,0,0,0,0,0,0,1747144,11,87,92,11,87,92,11,87,1747236,92,11
629,0,0,0,0,0,0,0,1755245,11,87,92,11,87,92,11,87,1755337,92,11
628,0,0,0,0,0,0,0,1763346,11,87,92,11,87,92,11,87,1763438,92,11
627,0,0,0,0,0,0,0,1771447,11,87,92,11,87,92,11,87,1771539,92,11
626,0,0,0,0,0,0,0,1779548,11,87,92,11,87,92,11,87,1779640,92,11
625,0,0,0,0,0,0,0,1787649,11,87,92,11,87,92,11,87,1787741,92,11
624,0,0,0,0,0,0,0,1795750,11,87,92,11,87,92,11,87,1795842,92,11
623,0,0,0,0,0,0,0,1803851,11,87,92,11,87,92,11,87,1803943,92,11
622,0,0,0,0,0,0,0,1811952,11,87,92,11,87,92,11,87,1812044,92,11
621,0,0,0,0,0,0,0,1820053,11,87,92,11,87,92,11,87,1820145,92,11
620,0,0,0,0,0,0,0,1828154,11,87,92,11,87,92,11,87,1828246,92,11
619,0,0,0,0,0,0,0,1836255,11,87,92,11,87,92,11,87,1836347,92,11
618,0,0,0,0,0,0,0,1844356,11,87,92,11,87,92,11,87,1844448,92,11
617,0,0,0,0,0,0,0,1852457,11,87,92,11,87,92,11,87,1852549,92,11
616,0,0,0,0,0,0,0,1860558,11,87,92,11,87,92,11,87,1860650,92,11
615,0,0,0,0,0,0,0,1868659,11,87,92,11,87,92,11,87,1868751,92,11
614,0,0,0,0,0,0,0,1876760,11,87,92,11,87,92,11,87,1876852,92,11
613,0,0,0,0,0,0,0,1884861,11,87,92,11,87,92,11,87,1884953,92,11
